"","estimate","std_err","wald","pval","AdjPvalue"
"Eubacterium cylindroides et rel.",-1.736,0.076,-22.747,0,0
"Eubacterium hallii et rel.",0.09,0.146,0.617,0.538,0.939
"Eubacterium limosum et rel.",-2.534,0.062,-40.799,0,0
"Eubacterium rectale et rel.",0.873,0.13,6.729,0,0
"Eubacterium siraeum et rel.",-1.646,0.097,-17.003,0,0
"Eubacterium ventriosum et rel.",0.031,0.123,0.251,0.802,0.966
"Faecalibacterium prausnitzii et rel.",3.077,0.164,18.784,0,0
"Fusobacteria",-0.985,0.064,-15.481,0,0
"Haemophilus",-1.273,0.22,-5.793,0,0
"Helicobacter",-1.85,0.056,-32.982,0,0
"Klebisiella pneumoniae et rel.",-0.666,0.141,-4.723,0,0
"Lachnobacillus bovis et rel.",0.7,0.137,5.096,0,0
"Lachnospira pectinoschiza et rel.",1.117,0.094,11.895,0,0
"Lactobacillus catenaformis et rel.",-0.507,0.189,-2.689,0.007,0.052
"Lactobacillus gasseri et rel.",-0.519,0.06,-8.705,0,0
"Lactobacillus plantarum et rel.",-0.065,0.082,-0.783,0.434,0.931
"Lactobacillus salivarius et rel.",-2.187,0.132,-16.539,0,0
"Lactococcus",-2.357,0.091,-25.928,0,0
"Leminorella",-0.502,0.16,-3.126,0.002,0.013
"Megamonas hypermegale et rel.",-2.558,0.05,-51.355,0,0
"Megasphaera elsdenii et rel.",0.306,0.258,1.184,0.236,0.853
"Mitsuokella multiacida et rel.",-0.524,0.382,-1.374,0.17,0.713
"Moraxellaceae",-0.595,0.188,-3.162,0.002,0.012
"Oceanospirillum",-2.247,0.084,-26.588,0,0
"Oscillospira guillermondii et rel.",4.266,0.184,23.161,0,0
"Outgrouping clostridium cluster XIVa",0.997,0.131,7.622,0,0
"Oxalobacter formigenes et rel.",0.409,0.187,2.18,0.029,0.178
"Papillibacter cinnamivorans et rel.",0.604,0.118,5.1,0,0
"Parabacteroides distasonis et rel.",1.026,0.154,6.646,0,0
"Peptococcus niger et rel.",-1.338,0.098,-13.694,0,0
"Peptostreptococcus micros et rel.",-1.775,0.058,-30.649,0,0
"Phascolarctobacterium faecium et rel.",-0.133,0.119,-1.118,0.264,0.877
"Prevotella melaninogenica et rel.",5.168,0.339,15.252,0,0
"Prevotella oralis et rel.",3.463,0.269,12.891,0,0
"Prevotella ruminicola et rel.",-1.866,0.128,-14.613,0,0
"Prevotella tannerae et rel.",0.372,0.155,2.397,0.016,0.11
"Propionibacterium",-2.51,0.066,-38.258,0,0
"Proteus et rel.",-1.052,0.068,-15.519,0,0
"Roseburia intestinalis et rel.",-0.183,0.121,-1.51,0.131,0.607
"Ruminococcus bromii et rel.",0.973,0.211,4.615,0,0
"Ruminococcus callidus et rel.",1.041,0.136,7.683,0,0
"Ruminococcus gnavus et rel.",0.388,0.109,3.554,0,0.003
"Ruminococcus lactaris et rel.",-0.682,0.143,-4.773,0,0
"Ruminococcus obeum et rel.",2.511,0.115,21.832,0,0
"Serratia",-1.108,0.214,-5.17,0,0
"Sporobacter termitidis et rel.",2.598,0.135,19.231,0,0
"Streptococcus bovis et rel.",0.811,0.208,3.908,0,0.001
"Streptococcus intermedius et rel.",-1.218,0.147,-8.294,0,0
"Streptococcus mitis et rel.",0.434,0.2,2.169,0.03,0.181
"Subdoligranulum variable at rel.",2.169,0.139,15.618,0,0
"Sutterella wadsworthia et rel.",0.396,0.149,2.647,0.008,0.057
"Tannerella et rel.",0.439,0.093,4.718,0,0
"Uncultured Bacteroidetes",-1.592,0.196,-8.105,0,0
"Uncultured Clostridiales I",1.329,0.158,8.401,0,0
"Uncultured Clostridiales II",1.452,0.146,9.93,0,0
"Uncultured Mollicutes",0.687,0.181,3.8,0,0.001
"Uncultured Selenomonadaceae",-0.143,0.097,-1.469,0.142,0.641
"Veillonella",-1.04,0.158,-6.583,0,0
"Vibrio",-1.558,0.071,-21.909,0,0
"Weissella et rel.",-1.777,0.266,-6.689,0,0
"Xanthomonadaceae",-1.685,0.204,-8.261,0,0
"Yersinia et rel.",-1.865,0.09,-20.765,0,0
"bmi_groupoverweight",0.046,0.296,0.155,0.877,0.966
"bmi_groupobese",-0.35,0.304,-1.15,0.25,0.862
"timepoint.within.group2",0.201,0.325,0.618,0.537,0.939
"Alcaligenes faecalis et rel.:bmi_groupoverweight",-0.004,0.374,-0.012,0.99,0.997
"Allistipes et rel.:bmi_groupoverweight",0.659,0.386,1.706,0.088,0.45
"Anaerostipes caccae et rel.:bmi_groupoverweight",0.313,0.363,0.864,0.387,0.931
"Anaerotruncus colihominis et rel.:bmi_groupoverweight",-0.313,0.381,-0.822,0.411,0.931
"Anaerovorax odorimutans et rel.:bmi_groupoverweight",-0.299,0.319,-0.937,0.349,0.931
"Aquabacterium:bmi_groupoverweight",-0.065,0.351,-0.184,0.854,0.966
"Atopobium:bmi_groupoverweight",-0.101,0.365,-0.276,0.782,0.966
"Bacillus:bmi_groupoverweight",-0.284,0.304,-0.933,0.351,0.931
"Bacteroides fragilis et rel.:bmi_groupoverweight",0.698,0.412,1.694,0.09,0.455
"Bacteroides intestinalis et rel.:bmi_groupoverweight",1.242,0.409,3.037,0.002,0.018
"Bacteroides ovatus et rel.:bmi_groupoverweight",0.847,0.377,2.249,0.024,0.157
"Bacteroides plebeius et rel.:bmi_groupoverweight",0.689,0.35,1.97,0.049,0.275
"Bacteroides splachnicus et rel.:bmi_groupoverweight",0.174,0.328,0.53,0.596,0.962
"Bacteroides stercoris et rel.:bmi_groupoverweight",0.873,0.351,2.488,0.013,0.088
"Bacteroides uniformis et rel.:bmi_groupoverweight",1.463,0.501,2.918,0.004,0.025
"Bacteroides vulgatus et rel.:bmi_groupoverweight",1.382,0.434,3.181,0.002,0.011
"Bifidobacterium:bmi_groupoverweight",0.088,0.365,0.242,0.809,0.966
"Bilophila et rel.:bmi_groupoverweight",-0.056,0.317,-0.178,0.859,0.966
"Bryantella formatexigens et rel.:bmi_groupoverweight",0.226,0.346,0.653,0.514,0.939
"Bulleidia moorei et rel.:bmi_groupoverweight",-0.343,0.316,-1.086,0.278,0.889
"Burkholderia:bmi_groupoverweight",-0.325,0.438,-0.741,0.459,0.931
"Butyrivibrio crossotus et rel.:bmi_groupoverweight",-0.005,0.343,-0.015,0.988,0.997
"Campylobacter:bmi_groupoverweight",-0.184,0.304,-0.605,0.545,0.944
"Catenibacterium mitsuokai et rel.:bmi_groupoverweight",0.054,0.394,0.136,0.892,0.967
"Clostridium (sensu stricto):bmi_groupoverweight",-0.471,0.322,-1.461,0.144,0.644
"Clostridium cellulosi et rel.:bmi_groupoverweight",-0.092,0.446,-0.207,0.836,0.966
"Clostridium colinum et rel.:bmi_groupoverweight",-0.288,0.373,-0.771,0.44,0.931
"Clostridium difficile et rel.:bmi_groupoverweight",-0.62,0.347,-1.789,0.074,0.393
"Clostridium leptum et rel.:bmi_groupoverweight",-0.251,0.351,-0.715,0.474,0.931
"Clostridium nexile et rel.:bmi_groupoverweight",-0.044,0.349,-0.125,0.9,0.969
"Clostridium orbiscindens et rel.:bmi_groupoverweight",0.076,0.342,0.221,0.825,0.966
"Clostridium ramosum et rel.:bmi_groupoverweight",-0.23,0.304,-0.756,0.45,0.931
"Clostridium sphenoides et rel.:bmi_groupoverweight",0.062,0.328,0.189,0.85,0.966
"Clostridium stercorarium et rel.:bmi_groupoverweight",0.136,0.349,0.389,0.697,0.966
"Clostridium symbiosum et rel.:bmi_groupoverweight",0.405,0.342,1.185,0.236,0.853
"Collinsella:bmi_groupoverweight",-0.015,0.356,-0.042,0.967,0.997
"Coprobacillus catenaformis et rel.:bmi_groupoverweight",-0.335,0.318,-1.053,0.292,0.931
"Coprococcus eutactus et rel.:bmi_groupoverweight",-0.066,0.378,-0.175,0.862,0.966
"Corynebacterium:bmi_groupoverweight",-0.212,0.302,-0.703,0.482,0.931
"Desulfovibrio et rel.:bmi_groupoverweight",-0.069,0.326,-0.211,0.833,0.966
"Dialister:bmi_groupoverweight",0.111,0.474,0.235,0.814,0.966
"Dorea formicigenerans et rel.:bmi_groupoverweight",0.113,0.339,0.334,0.739,0.966
"Eggerthella lenta et rel.:bmi_groupoverweight",-0.188,0.305,-0.617,0.537,0.939
"Enterobacter aerogenes et rel.:bmi_groupoverweight",-0.511,0.336,-1.522,0.128,0.603
"Enterococcus:bmi_groupoverweight",-0.434,0.389,-1.114,0.265,0.877
"Escherichia coli et rel.:bmi_groupoverweight",0.122,0.401,0.305,0.761,0.966
"Eubacterium biforme et rel.:bmi_groupoverweight",-0.837,0.409,-2.046,0.041,0.243
"Eubacterium cylindroides et rel.:bmi_groupoverweight",-0.047,0.313,-0.151,0.88,0.966
"Eubacterium hallii et rel.:bmi_groupoverweight",0.073,0.352,0.208,0.835,0.966
"Eubacterium limosum et rel.:bmi_groupoverweight",0.049,0.312,0.156,0.876,0.966
"Eubacterium rectale et rel.:bmi_groupoverweight",0.144,0.357,0.402,0.688,0.966
"Eubacterium siraeum et rel.:bmi_groupoverweight",0.084,0.323,0.26,0.795,0.966
"Eubacterium ventriosum et rel.:bmi_groupoverweight",0.021,0.338,0.064,0.949,0.991
"Faecalibacterium prausnitzii et rel.:bmi_groupoverweight",0.169,0.362,0.466,0.641,0.966
"Fusobacteria:bmi_groupoverweight",-0.192,0.306,-0.627,0.53,0.939
"Haemophilus:bmi_groupoverweight",0.471,0.414,1.138,0.255,0.862
"Helicobacter:bmi_groupoverweight",-0.172,0.304,-0.565,0.572,0.948
"Klebisiella pneumoniae et rel.:bmi_groupoverweight",-0.554,0.34,-1.628,0.104,0.514
"Lachnobacillus bovis et rel.:bmi_groupoverweight",0.052,0.349,0.149,0.882,0.966
"Lachnospira pectinoschiza et rel.:bmi_groupoverweight",-0.037,0.325,-0.115,0.908,0.974
"Lactobacillus catenaformis et rel.:bmi_groupoverweight",0.312,0.366,0.851,0.395,0.931
"Lactobacillus gasseri et rel.:bmi_groupoverweight",-0.235,0.307,-0.764,0.445,0.931
"Lactobacillus plantarum et rel.:bmi_groupoverweight",-0.262,0.31,-0.848,0.397,0.931
"Lactobacillus salivarius et rel.:bmi_groupoverweight",-0.298,0.35,-0.851,0.395,0.931
"Lactococcus:bmi_groupoverweight",-0.271,0.318,-0.851,0.394,0.931
"Leminorella:bmi_groupoverweight",-0.359,0.391,-0.918,0.359,0.931
"Megamonas hypermegale et rel.:bmi_groupoverweight",-0.183,0.303,-0.602,0.547,0.945
"Megasphaera elsdenii et rel.:bmi_groupoverweight",-0.505,0.441,-1.145,0.252,0.862
"Mitsuokella multiacida et rel.:bmi_groupoverweight",-0.654,0.571,-1.146,0.252,0.862
"Moraxellaceae:bmi_groupoverweight",0.095,0.386,0.247,0.805,0.966
"Oceanospirillum:bmi_groupoverweight",-0.101,0.316,-0.319,0.75,0.966
"Oscillospira guillermondii et rel.:bmi_groupoverweight",-0.321,0.379,-0.846,0.397,0.931
"Outgrouping clostridium cluster XIVa:bmi_groupoverweight",-0.178,0.343,-0.518,0.604,0.966
"Oxalobacter formigenes et rel.:bmi_groupoverweight",-0.098,0.381,-0.257,0.797,0.966
"Papillibacter cinnamivorans et rel.:bmi_groupoverweight",-0.112,0.341,-0.328,0.743,0.966
"Parabacteroides distasonis et rel.:bmi_groupoverweight",0.88,0.375,2.35,0.019,0.123
"Peptococcus niger et rel.:bmi_groupoverweight",-0.255,0.327,-0.779,0.436,0.931
"Peptostreptococcus micros et rel.:bmi_groupoverweight",-0.269,0.304,-0.886,0.376,0.931
"Phascolarctobacterium faecium et rel.:bmi_groupoverweight",0.274,0.371,0.737,0.461,0.931
"Prevotella melaninogenica et rel.:bmi_groupoverweight",-1.993,0.601,-3.316,0.001,0.007
"Prevotella oralis et rel.:bmi_groupoverweight",-1.263,0.497,-2.543,0.011,0.076
"Prevotella ruminicola et rel.:bmi_groupoverweight",0.032,0.35,0.091,0.928,0.986
"Prevotella tannerae et rel.:bmi_groupoverweight",0.659,0.371,1.777,0.076,0.396
"Propionibacterium:bmi_groupoverweight",-0.167,0.307,-0.542,0.588,0.951
"Proteus et rel.:bmi_groupoverweight",-0.289,0.306,-0.944,0.345,0.931
"Roseburia intestinalis et rel.:bmi_groupoverweight",0.464,0.345,1.345,0.179,0.737
"Ruminococcus bromii et rel.:bmi_groupoverweight",-0.288,0.402,-0.717,0.473,0.931
"Ruminococcus callidus et rel.:bmi_groupoverweight",-0.246,0.346,-0.709,0.478,0.931
"Ruminococcus gnavus et rel.:bmi_groupoverweight",0.273,0.336,0.813,0.416,0.931
"Ruminococcus lactaris et rel.:bmi_groupoverweight",-0.399,0.35,-1.14,0.254,0.862
"Ruminococcus obeum et rel.:bmi_groupoverweight",0.172,0.34,0.507,0.612,0.966
"Serratia:bmi_groupoverweight",0.591,0.399,1.483,0.138,0.629
"Sporobacter termitidis et rel.:bmi_groupoverweight",-0.305,0.36,-0.846,0.397,0.931
"Streptococcus bovis et rel.:bmi_groupoverweight",0.306,0.411,0.744,0.457,0.931
"Streptococcus intermedius et rel.:bmi_groupoverweight",0.067,0.359,0.188,0.851,0.966
"Streptococcus mitis et rel.:bmi_groupoverweight",0.252,0.392,0.643,0.52,0.939
"Subdoligranulum variable at rel.:bmi_groupoverweight",0.251,0.35,0.716,0.474,0.931
"Sutterella wadsworthia et rel.:bmi_groupoverweight",0.289,0.365,0.792,0.429,0.931
"Tannerella et rel.:bmi_groupoverweight",0.369,0.322,1.146,0.252,0.862
"Uncultured Bacteroidetes:bmi_groupoverweight",-0.438,0.376,-1.164,0.245,0.862
"Uncultured Clostridiales I:bmi_groupoverweight",-0.428,0.386,-1.109,0.267,0.877
"Uncultured Clostridiales II:bmi_groupoverweight",-0.631,0.355,-1.777,0.076,0.396
"Uncultured Mollicutes:bmi_groupoverweight",-0.683,0.389,-1.756,0.079,0.41
"Uncultured Selenomonadaceae:bmi_groupoverweight",-0.396,0.344,-1.151,0.25,0.862
"Veillonella:bmi_groupoverweight",-0.46,0.359,-1.28,0.2,0.765
"Vibrio:bmi_groupoverweight",-0.351,0.307,-1.142,0.253,0.862
"Weissella et rel.:bmi_groupoverweight",-0.732,0.41,-1.788,0.074,0.393
"Xanthomonadaceae:bmi_groupoverweight",-0.062,0.413,-0.15,0.881,0.966
"Yersinia et rel.:bmi_groupoverweight",-0.256,0.312,-0.82,0.412,0.931
"Alcaligenes faecalis et rel.:bmi_groupobese",0.158,0.372,0.425,0.671,0.966
"Allistipes et rel.:bmi_groupobese",0.755,0.402,1.879,0.06,0.332
"Anaerostipes caccae et rel.:bmi_groupobese",0.863,0.38,2.268,0.023,0.151
"Anaerotruncus colihominis et rel.:bmi_groupobese",-0.004,0.362,-0.012,0.99,0.997
"Anaerovorax odorimutans et rel.:bmi_groupobese",0.286,0.332,0.86,0.39,0.931
"Aquabacterium:bmi_groupobese",0.497,0.342,1.456,0.145,0.644
"Atopobium:bmi_groupobese",0.155,0.395,0.391,0.696,0.966
"Bacillus:bmi_groupobese",0.225,0.312,0.72,0.472,0.931
"Bacteroides fragilis et rel.:bmi_groupobese",0.382,0.43,0.888,0.375,0.931
"Bacteroides intestinalis et rel.:bmi_groupobese",0.758,0.381,1.992,0.046,0.264
"Bacteroides ovatus et rel.:bmi_groupobese",0.6,0.395,1.519,0.129,0.603
"Bacteroides plebeius et rel.:bmi_groupobese",0.624,0.368,1.694,0.09,0.455
"Bacteroides splachnicus et rel.:bmi_groupobese",0.493,0.347,1.42,0.156,0.666
"Bacteroides stercoris et rel.:bmi_groupobese",0.823,0.337,2.442,0.015,0.098
"Bacteroides uniformis et rel.:bmi_groupobese",0.658,0.507,1.297,0.195,0.76
"Bacteroides vulgatus et rel.:bmi_groupobese",1.194,0.454,2.632,0.009,0.06
"Bifidobacterium:bmi_groupobese",0.541,0.375,1.443,0.149,0.647
"Bilophila et rel.:bmi_groupobese",0.235,0.323,0.726,0.468,0.931
"Bryantella formatexigens et rel.:bmi_groupobese",0.549,0.356,1.542,0.123,0.584
"Bulleidia moorei et rel.:bmi_groupobese",0.201,0.328,0.611,0.541,0.94
"Burkholderia:bmi_groupobese",-0.014,0.444,-0.031,0.975,0.997
"Butyrivibrio crossotus et rel.:bmi_groupobese",0.456,0.334,1.366,0.172,0.718
"Campylobacter:bmi_groupobese",0.302,0.312,0.966,0.334,0.931
"Catenibacterium mitsuokai et rel.:bmi_groupobese",0.384,0.382,1.006,0.314,0.931
"Clostridium (sensu stricto):bmi_groupobese",0.156,0.331,0.471,0.637,0.966
"Clostridium cellulosi et rel.:bmi_groupobese",0.536,0.416,1.287,0.198,0.765
"Clostridium colinum et rel.:bmi_groupobese",0.374,0.373,1.003,0.316,0.931
"Clostridium difficile et rel.:bmi_groupobese",0.096,0.362,0.266,0.79,0.966
"Clostridium leptum et rel.:bmi_groupobese",0.098,0.359,0.272,0.786,0.966
"Clostridium nexile et rel.:bmi_groupobese",0.589,0.371,1.588,0.112,0.549
"Clostridium orbiscindens et rel.:bmi_groupobese",0.215,0.369,0.584,0.559,0.948
"Clostridium ramosum et rel.:bmi_groupobese",0.301,0.312,0.966,0.334,0.931
"Clostridium sphenoides et rel.:bmi_groupobese",0.465,0.331,1.405,0.16,0.677
"Clostridium stercorarium et rel.:bmi_groupobese",0.512,0.358,1.431,0.152,0.658
"Clostridium symbiosum et rel.:bmi_groupobese",0.689,0.345,1.996,0.046,0.263
"Collinsella:bmi_groupobese",0.362,0.365,0.992,0.321,0.931
"Coprobacillus catenaformis et rel.:bmi_groupobese",0.284,0.322,0.883,0.377,0.931
"Coprococcus eutactus et rel.:bmi_groupobese",0.288,0.382,0.752,0.452,0.931
"Corynebacterium:bmi_groupobese",0.287,0.31,0.925,0.355,0.931
"Desulfovibrio et rel.:bmi_groupobese",0.127,0.318,0.398,0.691,0.966
"Dialister:bmi_groupobese",0.656,0.452,1.452,0.146,0.644
"Dorea formicigenerans et rel.:bmi_groupobese",0.454,0.348,1.308,0.191,0.75
"Eggerthella lenta et rel.:bmi_groupobese",0.329,0.314,1.047,0.295,0.931
"Enterobacter aerogenes et rel.:bmi_groupobese",0.463,0.364,1.27,0.204,0.765
"Enterococcus:bmi_groupobese",-0.011,0.388,-0.028,0.978,0.997
"Escherichia coli et rel.:bmi_groupobese",0.231,0.358,0.647,0.518,0.939
"Eubacterium biforme et rel.:bmi_groupobese",-0.476,0.406,-1.173,0.241,0.86
"Eubacterium cylindroides et rel.:bmi_groupobese",0.203,0.316,0.642,0.52,0.939
"Eubacterium hallii et rel.:bmi_groupobese",0.431,0.35,1.229,0.219,0.813
"Eubacterium limosum et rel.:bmi_groupobese",0.283,0.312,0.905,0.366,0.931
"Eubacterium rectale et rel.:bmi_groupobese",0.766,0.349,2.194,0.028,0.174
"Eubacterium siraeum et rel.:bmi_groupobese",0.425,0.324,1.309,0.191,0.75
"Eubacterium ventriosum et rel.:bmi_groupobese",0.535,0.34,1.574,0.116,0.561
"Faecalibacterium prausnitzii et rel.:bmi_groupobese",0.595,0.385,1.544,0.123,0.584
"Fusobacteria:bmi_groupobese",0.424,0.319,1.327,0.184,0.742
"Haemophilus:bmi_groupobese",0.839,0.435,1.928,0.054,0.298
"Helicobacter:bmi_groupobese",0.3,0.312,0.961,0.337,0.931
"Klebisiella pneumoniae et rel.:bmi_groupobese",0.295,0.367,0.804,0.421,0.931
"Lachnobacillus bovis et rel.:bmi_groupobese",0.755,0.347,2.176,0.03,0.179
"Lachnospira pectinoschiza et rel.:bmi_groupobese",0.78,0.331,2.357,0.018,0.121
"Lactobacillus catenaformis et rel.:bmi_groupobese",0.352,0.38,0.926,0.355,0.931
"Lactobacillus gasseri et rel.:bmi_groupobese",0.298,0.313,0.951,0.342,0.931
"Lactobacillus plantarum et rel.:bmi_groupobese",0.302,0.328,0.919,0.358,0.931
"Lactobacillus salivarius et rel.:bmi_groupobese",0.461,0.35,1.315,0.188,0.75
"Lactococcus:bmi_groupobese",0.338,0.334,1.011,0.312,0.931
"Leminorella:bmi_groupobese",0.354,0.368,0.962,0.336,0.931
"Megamonas hypermegale et rel.:bmi_groupobese",0.303,0.311,0.976,0.329,0.931
"Megasphaera elsdenii et rel.:bmi_groupobese",-0.125,0.435,-0.287,0.774,0.966
"Mitsuokella multiacida et rel.:bmi_groupobese",0.231,0.551,0.419,0.675,0.966
"Moraxellaceae:bmi_groupobese",0.542,0.373,1.454,0.146,0.644
"Oceanospirillum:bmi_groupobese",0.48,0.332,1.445,0.148,0.647
"Oscillospira guillermondii et rel.:bmi_groupobese",0.386,0.384,1.006,0.315,0.931
"Outgrouping clostridium cluster XIVa:bmi_groupobese",0.55,0.346,1.591,0.112,0.549
"Oxalobacter formigenes et rel.:bmi_groupobese",-0.045,0.396,-0.113,0.91,0.974
"Papillibacter cinnamivorans et rel.:bmi_groupobese",0.215,0.34,0.633,0.527,0.939
"Parabacteroides distasonis et rel.:bmi_groupobese",0.567,0.378,1.499,0.134,0.614
"Peptococcus niger et rel.:bmi_groupobese",0.209,0.329,0.634,0.526,0.939
"Peptostreptococcus micros et rel.:bmi_groupobese",0.301,0.312,0.964,0.335,0.931
"Phascolarctobacterium faecium et rel.:bmi_groupobese",0.445,0.348,1.282,0.2,0.765
"Prevotella melaninogenica et rel.:bmi_groupobese",-0.661,0.583,-1.135,0.256,0.862
"Prevotella oralis et rel.:bmi_groupobese",-0.577,0.521,-1.107,0.268,0.877
"Prevotella ruminicola et rel.:bmi_groupobese",0.45,0.354,1.274,0.203,0.765
"Prevotella tannerae et rel.:bmi_groupobese",0.775,0.38,2.038,0.042,0.245
"Propionibacterium:bmi_groupobese",0.325,0.314,1.036,0.3,0.931
"Proteus et rel.:bmi_groupobese",0.296,0.318,0.932,0.352,0.931
"Roseburia intestinalis et rel.:bmi_groupobese",0.76,0.341,2.232,0.026,0.161
"Ruminococcus bromii et rel.:bmi_groupobese",-0.114,0.399,-0.287,0.774,0.966
"Ruminococcus callidus et rel.:bmi_groupobese",0.262,0.349,0.75,0.453,0.931
"Ruminococcus gnavus et rel.:bmi_groupobese",0.428,0.335,1.277,0.202,0.765
"Ruminococcus lactaris et rel.:bmi_groupobese",0.118,0.348,0.339,0.735,0.966
"Ruminococcus obeum et rel.:bmi_groupobese",0.32,0.344,0.93,0.352,0.931
"Serratia:bmi_groupobese",0.983,0.438,2.246,0.025,0.157
"Sporobacter termitidis et rel.:bmi_groupobese",0.3,0.357,0.842,0.4,0.931
"Streptococcus bovis et rel.:bmi_groupobese",0.171,0.402,0.425,0.671,0.966
"Streptococcus intermedius et rel.:bmi_groupobese",0.198,0.352,0.562,0.574,0.948
"Streptococcus mitis et rel.:bmi_groupobese",0.307,0.388,0.792,0.428,0.931
"Subdoligranulum variable at rel.:bmi_groupobese",0.818,0.367,2.229,0.026,0.161
"Sutterella wadsworthia et rel.:bmi_groupobese",0.622,0.368,1.689,0.091,0.456
"Tannerella et rel.:bmi_groupobese",0.46,0.341,1.347,0.178,0.737
"Uncultured Bacteroidetes:bmi_groupobese",0.061,0.397,0.153,0.878,0.966
"Uncultured Clostridiales I:bmi_groupobese",-0.013,0.36,-0.035,0.972,0.997
"Uncultured Clostridiales II:bmi_groupobese",-0.08,0.35,-0.229,0.819,0.966
"Uncultured Mollicutes:bmi_groupobese",-0.086,0.383,-0.224,0.823,0.966
"Uncultured Selenomonadaceae:bmi_groupobese",0.194,0.354,0.547,0.584,0.951
"Veillonella:bmi_groupobese",0.261,0.361,0.721,0.471,0.931
"Vibrio:bmi_groupobese",0.175,0.315,0.555,0.579,0.949
"Weissella et rel.:bmi_groupobese",-0.076,0.418,-0.18,0.857,0.966
"Xanthomonadaceae:bmi_groupobese",0.407,0.442,0.922,0.356,0.931
"Yersinia et rel.:bmi_groupobese",0.439,0.331,1.328,0.184,0.742
"Alcaligenes faecalis et rel.:timepoint.within.group2",-0.111,0.386,-0.288,0.774,0.966
"Allistipes et rel.:timepoint.within.group2",-0.12,0.405,-0.295,0.768,0.966
"Anaerostipes caccae et rel.:timepoint.within.group2",-0.246,0.39,-0.631,0.528,0.939
"Anaerotruncus colihominis et rel.:timepoint.within.group2",0.139,0.414,0.337,0.736,0.966
"Anaerovorax odorimutans et rel.:timepoint.within.group2",-0.232,0.342,-0.679,0.497,0.938
"Aquabacterium:timepoint.within.group2",-0.121,0.365,-0.332,0.74,0.966
"Atopobium:timepoint.within.group2",-0.142,0.39,-0.364,0.716,0.966
"Bacillus:timepoint.within.group2",-0.333,0.335,-0.995,0.32,0.931
"Bacteroides fragilis et rel.:timepoint.within.group2",0.253,0.45,0.563,0.573,0.948
"Bacteroides intestinalis et rel.:timepoint.within.group2",-0.259,0.401,-0.647,0.517,0.939
